Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,1 frs1,462.5625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
2,2 frs20 c,462.675,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
3,3 frs3,462.6125,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
4,BICI F4,462.6375,,0.000000,DTCS,88.5,88.5,031,NN,031,Tone->Tone,FM,5.00,,10.0W,,,,,
5,5 frs5,462.6625,,0.000000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
6,6 bf6F18,462.625000,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
7,7 bf7F22,462.725000,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
8,8 bf8,462.825000,,0.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
9,9 frs21,462.7000,,0.000000,DTCS,88.5,88.5,723,NN,723,Tone->Tone,FM,5.00,,10.0W,,,,,
10,10 frs2,462.5875,,0.000000,DTCS,88.5,88.5,243,NN,243,Tone->Tone,FM,5.00,,10.0W,,,,,
11,11 frs6,462.6875,,0.000000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
12,12 frs15,462.5500,,0.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
13,13 bf13,463.525000,,0.000000,DTCS,88.5,88.5,331,NN,331,Tone->Tone,FM,5.00,,10.0W,,,,,
14,14 frs7,462.7125,,0.000000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,FM,5.00,,10.0W,,,,,
15,15 frs19,462.6500,,0.000000,TSQL,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
16,16 frs17,462.6000,,0.000000,DTCS,88.5,88.5,465,NN,465,Tone->Tone,FM,5.00,,10.0W,,,,,
17,Ghost,435.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,

